"Seed","Configuration_ID","Test_Observations","Prefilter_Stack_BA","Standard_Stack_BA","Hard_Vote_BA","XGBoost_BA","Prefilter_Stack_Accuracy","Standard_Stack_Accuracy","Hard_Vote_Accuracy","XGBoost_Accuracy","Direct_Vote_Rate","Cases_Sent_To_Meta","Meta_Route_Accuracy","Direct_Route_Accuracy","Prefilter_Minus_Standard","Prefilter_Minus_Hard_Vote","Prefilter_Minus_XGBoost"
2100,"SpambasePrefilter5of6OOFThresholds",919,0.954147118045568,0.956978981719353,0.951245821637224,0.959118997788071,0.953210010881393,0.954298150163221,0.953210010881393,0.958650707290533,0.946681175190424,49,0.591836734693878,0.973563218390805,-0.00283186367378518,0.0029012964083438,-0.00497187974250368
2200,"SpambasePrefilter5of6OOFThresholds",919,0.949314103772181,0.942202207960959,0.950625886507236,0.939992759157682,0.945593035908596,0.935799782372144,0.947769314472252,0.932535364526659,0.947769314472252,48,0.604166666666667,0.964408725602755,0.0071118958112224,-0.00131178273505461,0.00932134461449952
2300,"SpambasePrefilter5of6OOFThresholds",919,0.936883164545662,0.943858674628287,0.937850263348443,0.939645595484888,0.935799782372144,0.940152339499456,0.935799782372144,0.9379760609358,0.936887921653972,58,0.620689655172414,0.957026713124274,-0.00697551008262498,-0.00096709880278123,-0.00276243093922657
2400,"SpambasePrefilter5of6OOFThresholds",919,0.945445708561056,0.944272791295119,0.947102175228384,0.942958528819544,0.945593035908596,0.941240478781284,0.949945593035909,0.946681175190424,0.951033732317737,45,0.555555555555556,0.965675057208238,0.00117291726593716,-0.00165646666732799,0.0024871797415118
2500,"SpambasePrefilter5of6OOFThresholds",919,0.950901137704951,0.949450489500779,0.949934038902169,0.941855044288166,0.951033732317737,0.951033732317737,0.951033732317737,0.941240478781284,0.957562568008705,39,0.82051282051282,0.956818181818182,0.00145064820417184,0.00096709880278123,0.00904609341678486
2600,"SpambasePrefilter5of6OOFThresholds",919,0.946826924030669,0.944892726425107,0.945445708561056,0.946482240098396,0.946681175190424,0.946681175190424,0.945593035908596,0.944504896626768,0.956474428726877,40,0.575,0.963594994311718,0.00193419760556268,0.00138121546961334,0.000344683932273382
2700,"SpambasePrefilter5of6OOFThresholds",919,0.932392354464029,0.939092613348939,0.931150004463533,0.923690944979517,0.9379760609358,0.939064200217628,0.934711643090316,0.930359085963003,0.947769314472252,48,0.666666666666667,0.95292766934558,-0.00670025888491033,0.00124235000049588,0.00870140948451159
2800,"SpambasePrefilter5of6OOFThresholds",919,0.943303212751818,0.942889096084986,0.93750309967565,0.945376275826498,0.94885745375408,0.947769314472252,0.941240478781284,0.946681175190424,0.942328618063112,53,0.716981132075472,0.963048498845266,0.000414116666832109,0.00580011307616779,-0.0020730630746798
2900,"SpambasePrefilter5of6OOFThresholds",919,0.942819663350427,0.944686907961951,0.939228999077537,0.926039259251912,0.94885745375408,0.942328618063112,0.944504896626768,0.931447225244831,0.949945593035909,46,0.673913043478261,0.963344788087056,-0.00186724461152377,0.00359066427289056,0.0167804040985152
3000,"SpambasePrefilter5of6OOFThresholds",919,0.9400572324112,0.940126665145759,0.935154785403255,0.93646656813831,0.946681175190424,0.945593035908596,0.940152339499456,0.942328618063112,0.94885745375408,47,0.74468085106383,0.957568807339449,-6.94327345587276e-05,0.00490244700794507,0.00359066427289045
